"Rank","Tier","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"188","11","","Greg Zuerlein","DAL","K4","10","163","211","190.4","7.1","164.0","-24.0"
"189","11","","Greg Olsen","SEA","TE24","6","127","299","200.4","37.8","207.0","+18.0"
"190","11","","Minnesota (MIN)","","DST8","7","159","274","188.9","23.0","166.0","-24.0"
"191","11","","Tyrell Williams","LV","WR72","6","113","304","196.0","33.5","244.0","+53.0"
"192","11","","A.J. Dillon","GB","RB56","5","100","328","190.7","42.2","194.0","+2.0"
"193","11","","Giovani Bernard","CIN","RB57","9","134","283","197.1","28.1","233.0","+40.0"
"194","11","","John Ross","CIN","WR73","9","129","260","200.5","29.0","241.0","+47.0"
"195","11","","Cole Beasley","BUF","WR74","11","138","247","199.6","25.6","217.0","+22.0"
"196","11","","Randall Cobb","HOU","WR75","8","101","244","200.3","24.0","231.0","+35.0"
"197","11","","Antonio Gibson","WAS","RB58","8","84","327","177.1","47.4","158.0","-39.0"
"198","11","","Kansas City (KC)","","DST9","10","145","293","197.2","21.7","180.0","-18.0"
"199","11","","Rashaad Penny","SEA","RB59","6","120","321","213.1","39.2","186.0","-13.0"
"200","11","","Los Angeles (LAR)","","DST10","9","152","290","196.5","32.4","205.0","+5.0"
"201","11","","Anthony McFarland Jr.","PIT","RB60","8","98","375","199.3","50.5","187.0","-14.0"
"202","11","","Darrynton Evans","TEN","RB61","7","121","377","193.3","46.7","179.0","-23.0"
"203","11","","O.J. Howard","TB","TE25","13","127","305","212.9","39.1","228.0","+25.0"
"204","11","","Jace Sternberger","GB","TE26","5","121","325","205.2","44.7","240.0","+36.0"
"205","11","","Mohamed Sanu","NE","WR76","6","97","359","217.6","27.6","249.0","+44.0"
"206","11","","Kyle Rudolph","MIN","TE27","7","133","273","215.6","35.8","219.0","+13.0"
"207","11","","Tee Higgins","CIN","WR77","9","109","346","212.2","37.4","210.0","+3.0"
"208","11","","Chris Thompson","JAC","RB62","7","123","305","201.2","42.3","256.0","+48.0"
"209","11","","Denver (DEN)","","DST11","8","165","299","213.8","18.2","175.0","-34.0"
"210","11","","Robbie Gould","SF","K5","11","183","305","211.2","16.1","173.0","-37.0"
"211","11","","Kenny Stills","HOU","WR78","8","124","325","211.2","35.1","243.0","+32.0"
"212","11","","Damien Harris","NE","RB63","6","132","368","221.3","44.1","190.0","-22.0"
"213","11","","Philadelphia (PHI)","","DST12","9","140","303","216.0","25.1","189.0","-24.0"
"214","11","","Laviska Shenault Jr.","JAC","WR79","7","102","355","221.9","47.9","234.0","+20.0"
"215","11","","Malcolm Brown","LAR","RB64","9","146","352","228.3","43.4","245.0","+30.0"
"216","11","","Carlos Hyde","SEA","RB65","6","98","321","209.1","46.0","188.0","-28.0"
"217","11","","Ryquell Armstead","JAC","RB66","7","133","348","222.0","49.2","229.0","+12.0"
"218","11","","Dawson Knox","BUF","TE28","11","153","272","224.8","29.3","236.0","+18.0"
"219","11","","Matt Prater","DET","K6","5","192","253","219.5","11.3","182.0","-37.0"
"220","11","","Matt Gay","TB","K7","13","183","323","218.5","21.1","203.0","-17.0"
"221","11","","Danny Amendola","DET","WR80","5","151","346","228.2","29.6","276.0","+55.0"
"222","11","","Los Angeles (LAC)","","DST13","10","145","352","215.4","38.0","172.0","-50.0"
"223","11","","Royce Freeman","DEN","RB67","8","110","358","221.6","55.9","267.0","+44.0"
"224","11","","Justice Hill","BAL","RB68","8","143","334","222.7","49.2","251.0","+27.0"
"225","11","","Joshua Kelley","LAC","RB69","10","79","332","200.7","45.1","216.0","-9.0"
"226","11","","Jalen Richard","LV","RB70","6","153","362","228.9","43.3","237.0","+11.0"
"227","11","","Zane Gonzalez","ARI","K8","8","173","331","229.5","20.7","178.0","-49.0"
"228","12","","Devin Funchess","GB","WR81","5","157","295","229.2","24.1","262.0","+34.0"
"229","12","","Tennessee (TEN)","","DST14","7","166","303","229.3","23.0","214.0","-15.0"
"230","12","","Jake Elliott","PHI","K9","9","182","292","235.5","16.1","196.0","-34.0"
"231","12","","Gerald Everett","LAR","TE29","9","142","327","239.1","39.4","247.0","+16.0"
"232","12","","Michael Badgley","LAC","K10","10","196","308","233.6","20.6","297.0","+65.0"
"233","12","","Seattle (SEA)","","DST15","6","197","355","233.7","25.8","222.0","-11.0"
"234","12","","Ka'imi Fairbairn","HOU","K11","8","198","281","233.8","12.4","200.0","-34.0"
